id,usuario_id,proveedor_id,nombre,localidad_id,latitud,longitud,direccion,imagen_cartel,medidas,fecha_actualizacion,altura,largo,metros_cuadrados,metros_cuadrados_precio
20,2,1,Formosa hermosa,1,26.1791795,-58.1703295,DEÁN FUNES Y MAIPÚ,carteles/colman_16.png,sin especificar,2023-12-13 15:23:33.928915,,,,
21,2,1,Todos unidos,1,-26.1900466,-58.1597957,EROSP,carteles/tic_IijqSv9.jpg,sin especificar,2023-12-13 15:23:51.328843,,,,
22,2,1,Forrmosa crece,1,-26.183883,-58.1734744,FONTANA Y ESPAÑA (ESC. 58),carteles/COLMAN_17.png,sin especificar,2023-12-13 15:24:11.044052,,,,
23,2,1,Pantalla,1,-26.1846507,-58.1719201,PANTALLA EVA PERÓN Y 25 DE MAYO,carteles/colman_18.png,sin especificar,2023-12-13 15:24:25.712800,,,,
24,2,1,Pantalla,1,-26.1837945,-58.1735092,PANTALLA FONTANA Y ESPAÑA,carteles/colman_19.png,sin especificar,2023-12-13 15:24:33.878959,,,,
29,2,1,Formosa crece,1,-26.1971023,-58.2131679,Gendarmería Nacional y Saavedra,carteles/colman_24.png,"8,10 x 4,80",2023-12-13 15:29:06.119644,,,,
8,2,1,Nuevas viviendas,1,-26.1982657,-58.2133942,CRUZ DEL NORTE,carteles/colman_4.png,6 x 4 m,2023-12-13 15:10:46.667809,,,,
9,2,1,Nuevos acuaductos,1,-26.1883036,-58.1840453,AV GUTNISKY Y PANTALEÓN - FRENTE A LA YPF,carteles/colman_5.png,6 x 4 m,2023-12-13 15:11:56.628863,,,,
31,2,1,Formosa crece,1,-26.2126975,-58.2317688,Aeropuerto El Pucú,carteles/colman_27.png,6 x 4 m,2023-12-13 15:29:55.099619,,,,
32,2,1,Todos unidos,1,-26.1937472,-58.1710685,Av Napoleón Uriburu y Av. 9 de Julio,carteles/colman_28.png,6 x 4 m,2023-12-13 15:30:13.442675,,,,
6,2,1,Plan 100 obras,1,-26.126115,-58.2131257,Camping IASEP,carteles/COLMAN_2.png,6 X 5 M,2023-12-18 23:19:42.645175,,,,
7,2,1,Cartel YPF soberania,1,-26.1979858,-58.2124551,AV. GUTNISKY Y AVELLANEDA,carteles/colman_3.png,6 X 5 M,2023-12-13 15:10:27.877602,,,,
10,2,1,Felices fiestas,1,-26.1217978,-58.2189058,CAMPING POLICIAL RN11,carteles/colman_6.png,6 X 4,2023-12-13 15:12:34.149985,,,,
11,2,1,centros desarrollo infantil,1,-26.1860923,-58.2062883,AV. ALICIA MOREAU DE JUSTO Y AV. N. KIRCHNER,carteles/colman_7.png,5 x 3 m,2023-12-13 15:13:18.829245,,,,
12,2,1,Fortmosa hermosa,1,-26.1818741,-58.1641019,AV. 25 DE MAYO Y SAN MARTÍN-HTL TURISMO,carteles/colman_8.png,5 x 3 m,2023-12-13 15:13:51.017058,,,,
13,2,1,sistemas cloacales,1,-26.1604221,-58.1834721,AV. J. D. PERÓN Y SANTOS MARIGHETTI,carteles/colman_9.png,5 x 3 m,2023-12-13 15:14:12.531438,,,,
14,2,1,Viviendas urbanas,1,-26.1862664,-58.2062464,AVDA PUEYRREDÓN Y N. KIRCHNER,carteles/colman_10.png,5 x 3 m,2023-12-13 15:15:17.268336,,,,
15,2,1,Vuelta Formosa,1,-26.1779207,-58.1770812,Canal 3,carteles/colman_11.png,5 x 3 m,2023-12-13 15:18:53.248229,,,,
